name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6931471805599453,2.11
2_DecisionTree,Decision Tree,logloss,1.192092966562092e-07,11.44
3_Linear,Linear,logloss,0.22581779009632053,17.35
4_Default_Xgboost,Xgboost,logloss,0.07224461117997236,11.79
5_Default_NeuralNetwork,Neural Network,logloss,0.4078193129184415,2.13
6_Default_RandomForest,Random Forest,logloss,0.6931471805599453,5.47
Ensemble,Ensemble,logloss,1.192092966562092e-07,0.53
