,Iris-setosa,Iris-versicolor,Iris-virginica
intercept,-0.14143449390791762,1.9356349395726793,-1.7942004456647624
Id,-1.152746084211095,-0.880767682863256,2.03351376707435
SepalLengthCm,-0.8765839424720138,0.4161072613047355,0.46047668116727736
SepalWidthCm,0.9855617421189893,-0.4848797947565327,-0.500681947362456
PetalLengthCm,-1.3942779723618093,0.05523408893675085,1.3390438834250578
PetalWidthCm,-1.3597120911385847,-0.2858704469070864,1.6455825380456703
